CustomerId,InterArrivalTime,ArrivalTime,ArrivalClockTime,ServiceTime
1,0.0,0.0,15:00,3.45
2,2.15,2.15,15:02,4.1
3,1.8,3.95,15:03,2.9
4,4.2,8.15,15:08,5.15
5,0.9,9.05,15:09,3.8
6,3.1,12.15,15:12,6.0
7,2.5,14.65,15:14,2.4
8,1.2,15.85,15:15,4.75
9,5.0,20.85,15:20,3.2
10,2.3,23.15,15:23,5.5
11,1.15,24.3,15:24,4.0
12,3.8,28.1,15:28,3.1
13,0.75,28.85,15:28,2.8
14,2.9,31.75,15:31,4.5
15,4.1,35.85,15:35,5.2
16,1.6,37.45,15:37,3.6
17,3.4,40.85,15:40,2.95
18,2.1,42.95,15:42,4.8
19,0.85,43.8,15:43,3.3
20,3.6,47.4,15:47,5.0
