Customer,ArrivalTime,ServiceIn,ServiceOut,Departure,Payment,Server
1,15:10,15:17,15:24,15:25,card,2
2,15:01,15:06,15:08,15:40,card,1
3,15:52,,,16:00,,
4,15:00,15:02,15:03,15:25,card,2
5,15:35,15:40,15:42,15:45,cash,3
6,15:26,15:39,15:40,15:45,card,2
7,15:18,,,15:20,,
8,15:48,15:55,15:55,15:56,cash,2
9,15:03,,,15:04,,
10,15:00,15:21,15:25,15:27,cash,1
11,15:01,15:08,15:10,15:11,card,2
12,15:01,,,15:28,,
13,15:02,,,15:33,,
14,15:03,15:27,15:31,15:33,cash,2
15,15:03,,,15:07,,
16,15:06,15:58,15:59,16:00,card,3
17,15:06,,,15:15,,
18,15:06,,,15:17,,
19,15:07,,,15:46,,
20,15:08,,,15:10,,
21,15:10,,,15:14,,
22,15:13,,,15:50,,
23,15:13,,,15:49,,
24,15:17,15:31,15:32,15:35,card,2
25,15:18,15:28,15:39,15:42,card,2
26,15:20,15:34,15:43,15:45,card,1
27,15:21,15:42,15:44,15:46,card,2
28,15:22,,,15:27,,
29,15:45,,,15:47,,
30,15:46,,,15:57,,
31,15:50,,,15:55,,
32,15:14,15:24,15:26,15:27,Card,3
33,15:18,,,,,
34,15:18,,,,,
35,15:14,,,15:27,,
36,15:38,15:51,15:54,15:55,Cash,2
37,15:38,15:51,15:54,15:55,Cash,2
38,15:40,15:53,15:55,15:59,Card,2
39,15:40,,,15:41,,
40,15:44,,,15:48,,
41,15:44,,,15:59,,
42,15:46,,,15:54,,
43,15:46,,,15:47,,
44,15:46,15:50,15:55,15:56,Card,2
45,15:46,15:52,15:53,15:56,Card,1
46,15:46,,,15:56,,
47,15:46,,,15:56,,
48,15:58,,,,,
49,15:58,,,,,
50,15:02,15:13,15:20,15:21,Card,2
51,15:10,,,15:25,,
52,15:02,15:14,15:20,15:21,,2
53,15:02,,,15:30,,
54,15:07,15:15,15:17,15:21,,3
55,15:05,,,,,
56,15:06,,,,,
57,15:06,,,,,
58,15:07,15:25,15:27,15:29,Cash,2
59,15:07,,,15:29,,
60,15:10,,,15:13,,
61,15:10,,,15:13,,
62,15:12,,,15:24,,
63,15:14,,,,,
64,15:12,,,15:14,,
65,15:18,,,15:22,,
66,15:19,,,15:31,,
67,15:20,,,15:24,,
68,15:20,,,15:24,,
69,15:28,,,15:33,,
70,15:28,,,15:33,,
71,15:28,,,15:33,,
72,15:29,15:47,15:48,15:57,Cash,2
73,15:28,15:33,15:36,15:38,Cash,1
74,15:02,15:28,15:33,15:34,Card,2
75,15:40,15:42,15:47,15:50,Cash,2
76,15:40,15:42,15:47,15:50,Cash,2
77,15:42,,,15:43,,
78,15:42,,,15:43,,
79,15:05,15:10,15:13,15:51,Card,3
80,15:45,,,15:51,,
81,15:45,,,15:48,,
82,15:45,,,15:48,,
83,15:47,,,,,
84,15:47,15:54,15:55,15:55,Card,2
85,15:03,,,15:11,,
86,15:10,15:17,15:19,15:25,Cash,2
87,15:52,,,,,
88,15:56,,,15:58,,
89,15:00,15:12,15:13,,cash,1
90,15:05,,,15:08,,
91,15:10,15:18,15:21,15:35,Card,2
92,15:19,15:24,15:25,15:26,Cash,2
93,15:13,15:27,15:30,15:31,,
94,15:02,,,15:03,,
95,15:31,15:57,15:58,16:00,cash,3
96,15:06,,,15:08,,
97,15:07,15:17,,,,2
98,15:10,15:14,15:16,,,1
99,15:05,15:07,15:10,,,1
100,15:13,15:30,15:34,,card,3
101,15:18,15:19,15:21,15:21,,2
102,15:18,15:32,15:37,,cash,2
103,15:18,15:56,15:59,16:00,,3
104,15:19,15:32,15:33,15:35,cash,2
105,15:13,15:16,15:17,15:17,,2
106,15:19,,,15:29,,
107,15:33,,,15:37,,
108,15:33,,,,,
109,15:40,,,,,
110,15:31,,,15:35,,
111,15:32,,,15:47,,
112,15:34,15:34,15:40,15:41,,2
113,15:33,,,15:51,,
114,15:34,,,15:40,,
115,15:35,,,,,
116,15:35,,,15:37,,
117,15:36,,,15:37,,
118,15:36,,,15:38,,
119,15:37,,,15:40,,
120,15:38,,,,,
121,15:39,,,,,
122,15:40,,,15:43,,
123,15:41,,,15:42,,
124,15:42,,,15:50,,
125,15:43,,,,,
126,15:45,15:55,,15:57,,2
127,15:45,,,,,
128,15:46,15:51,15:52,15:52,cash,1
129,15:46,,,,,
130,15:46,,,,,
131,15:49,,,,,
132,15:50,,,15:57,,
133,15:51,,,15:54,,
134,15:52,,,,,
135,15:53,,,,,
136,15:50,,,15:52,,
137,15:54,,,,,
138,15:54,,,,,
139,15:54,,,15:56,,
140,15:17,,,15:24,,
141,15:18,,,15:25,,
142,15:57,,,,,
143,15:18,,,15:28,,
144,15:47,,,15:48,,
145,15:19,,,15:48,,
146,15:23,,,,,
147,15:23,,,,,
148,15:25,,,15:30,,
149,15:27,,,,,
150,15:26,,,15:59,,
151,15:26,,,15:57,,
152,15:29,,,15:34,,
153,15:27,,,,,
154,15:31,15:47,15:49,15:53,card,3
155,15:31,,,,,
156,15:33,,,15:44,,
157,15:33,,,,,
158,15:33,,,,,
159,15:35,,,15:41,,
160,15:38,,,,,
161,15:35,15:38,15:40,15:47,,2
162,15:38,15:43,15:45,15:59,card,1
163,15:41,15:43,15:47,15:57,card,2
164,15:49,,,15:51,,
165,15:50,,,15:53,,
166,15:50,,,,,
167,15:44,15:50,15:52,15:53,,1
168,15:43,15:45,15:46,15:47,,2
169,15:50,15:54,15:57,15:59,cash,2
170,15:52,,,,,
171,15:53,,15:55,,,3
172,15:31,15:51,15:56,,,1
173,15:54,15:57,15:59,,,2
174,15:58,15:59,16:00,,,2
175,15:59,,,,,
176,15:36,,,15:38,,
177,15:37,,,15:40,,
178,15:38,,,,,
179,15:39,,,,,
180,15:40,,,15:43,,
181,15:41,,,15:42,,
182,15:42,,,15:50,,
183,15:43,,,,,
184,15:45,15:55,15:57,15:57,,2
185,15:45,,,,,
186,15:46,15:51,15:53,15:56,card,2
187,15:46,,,,,
188,15:46,,,,,
189,15:49,,,,,
190,15:50,,,15:57,,
191,15:51,,,15:54,,
192,15:52,,,,,
193,15:53,,,,,
194,15:54,,,,,
195,15:54,,,,,
196,15:54,,,15:56,,
197,15:54,,,,,
198,15:57,,,,,
199,15:58,,,,,
200,15:57,,,,,
201,15:58,,,,,
202,16:00,,,,,
203,15:02,15:13,15:20,15:21,card,1
204,15:02,,,15:21,,
205,15:02,15:14,15:20,15:21,,2
206,15:02,15:20,15:23,15:25,,2
207,15:05,,,15:16,,
208,15:06,,,15:17,,
209,15:06,,,15:20,,
210,15:07,15:25,15:27,15:29,cash,1
211,15:07,,,15:29,,
212,15:10,,,15:13,,
213,15:12,,,15:24,,
214,15:14,,,15:25,,
215,15:12,,,15:14,,
216,15:18,,,15:22,,
217,15:19,,,15:31,,
218,15:20,,,15:24,,
219,15:28,,,15:33,,
220,15:29,15:47,15:48,15:50,cash,2
221,15:33,15:33,15:36,15:38,Cash,3
222,15:02,15:28,15:33,15:34,Cash,2
223,15:40,15:42,15:47,15:50,Card,2
224,15:42,,,15:43,,
225,15:45,,,15:51,,
226,15:45,,,15:48,,
227,15:47,,,15:49,,
228,15:47,15:54,15:55,15:57,card,2
229,15:56,,,15:58,,
230,15:56,,,16:00,,
231,15:19,15:24,15:25,15:26,cash,2
232,15:19,,,15:26,,
233,15:13,15:27,15:38,15:40,cash,1
234,15:01,,,15:12,,
235,15:01,,,15:14,,
236,15:01,,,15:20,,
237,15:02,,,15:09,,
238,15:02,15:04,15:08,15:20,cash,2
239,15:02,,,15:20,,
240,15:02,,,15:34,,
241,15:05,,,15:06,,
242,15:09,,,15:18,,
243,15:09,,,15:14,,
244,15:10,,,15:15,,
245,15:10,,,15:16,,
246,15:11,,,15:22,,
247,15:15,,,15:16,,
248,15:16,,,15:17,,
249,15:17,,,15:19,,
250,15:18,15:30,15:31,15:32,Cash,2
251,15:18,,,15:32,,
252,15:20,15:44,15:50,15:52,Card,3
253,15:20,,,15:52,,
254,15:23,,,15:29,,
255,15:27,,,15:37,,
256,15:28,,,15:39,,
257,15:28,,,15:40,,
258,15:29,,,15:32,,
259,15:30,,,15:39,,
260,15:31,15:50,15:54,15:55,Card,2
261,15:33,,,15:44,,
262,15:33,,,15:38,,
263,15:34,15:36,15:48,15:49,Card,1
264,15:34,,,15:49,,
